Name,优先级,截止日期,描述,状态,相关文档,负责人
【功能3】实现降级策略：连续2天失败自动降低难度,高,,当用户连续2天失败时，自动降低任务难度，例如从阅读30分钟降级到阅读2分钟,未开始,记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21),Leo
【功能3】根据记忆和wish差距计算难度调整幅度,高,,根据用户记忆数据和wish目标之间的差距，计算需要调整的难度幅度,未开始,记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21),Leo
【功能2】生成周报：识别失败模式（如周五晚上刷Instagram导致晚睡）,低,,生成周报，识别用户的失败模式，例如：总是在周五晚上因为刷Instagram而导致晚睡,未开始,记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21),Leo
"【补丁功能】引入""舒适区""（Comfort Zone）弹性区间概念（高优先级）",高,,【高优先级补丁】从二元执行转向弹性区间，引入舒适区概念。不是一个精确时间点（如22:15必须睡觉），而是一个范围（如6-7.5小时睡眠）。解决'全有或全无'的心理崩溃，避免晚5分钟就被记录为失败的挫败感。这是对你原有DDA（失败后降级）的前置预防策略。,未开始,【补丁】动态难度agent规划层补丁 (https://www.notion.so/agent-2f4670f5647980d1b3b2eac556e46729?pvs=21),Leo
【功能2】设计并定义行为记忆数据结构,高,,定义行为记忆需要存储的数据结构，包括：是否完成、完成程度、挂断信息、压力值、时间戳等关键字段,未开始,记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21),Leo
【补丁功能】实现Morning Forecast：基于睡眠/日程/天气定义舒适区,高,,【高优先级补丁】早晨预报功能：AI读取睡眠数据、日程安排、天气情况，自动生成当天的舒适区基准。例如昨晚只睡4小时且今天全天有课，系统自动将目标从10000步降低到4000-6000步的现实区间。防偷懒机制：舒适区是基于生理和环境限制的科学建议，不是用户想设多少就设多少。,未开始,【补丁】动态难度agent规划层补丁 (https://www.notion.so/agent-2f4670f5647980d1b3b2eac556e46729?pvs=21),Leo
"【功能3】实现""绝不错过两次""（Never Miss Twice）逻辑",高,,实现Never Miss Twice逻辑：防止连续两次失败，第二次失败时主动触发降级,未开始,"记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21), 【排功能】agent deliver功能分解大集合 (https://www.notion.so/agent-deliver-2f5670f56479807c9297fd3a8ea0cf56?pvs=21)",Leo
【功能3】实现金发女孩准则（Goldilocks Rule）：保持难度在适中区间,中,,实现金发女孩准则：任务必须处于难度适中的区间才能维持动力，避免太简单或太难,未开始,"记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21), 【重要】humanOS架构：基于行为工程学的习惯养成 Agent 设计策略 (https://www.notion.so/humanOS-Agent-2f1670f56479803a8db3ebc3704075b1?pvs=21)",Leo
【补丁功能】实现共同归因（Co-Interpretation）：帮用户找外部原因,高,,【中高优先级补丁→改为高优先级】共同归因（Co-Interpretation）：你的humanOS关注Result（结果），这个补丁让系统关注Reason（原因）。当数据异常时，AI不直接判定'你没做好'，而是抛出Why questions，列出可能的外部因素（天气、会议压力、睡眠不足）。帮用户找借口（合理化）能减少羞耻感——羞耻感是导致用户弃用App的最大原因。将'我懒惰'重构为'今天环境受限'，保护用户的身份认同。需要整合到你的Self-Correct层。,未开始,【补丁】动态难度agent规划层补丁 (https://www.notion.so/agent-2f4670f5647980d1b3b2eac556e46729?pvs=21),Leo
【功能2】收集用户行为完成数据（是否做完、完成程度）,高,,通过AI对话交互收集用户行为完成情况，包括是否做完、完成到什么程度等数据,未开始,记忆和动态难度Leo+gxm (https://www.notion.so/Leo-gxm-2f5670f56479808ba387e53f66d8d45c?pvs=21),Leo
